Trials,Min Card Count,Average Rounds Played, Probability of Termination
720,14.644,669.902,0.16
730,15.077,689.871,0.131
740,15.165,687.495,0.158
750,14.999,697.138,0.164
760,14.754,702.021,0.169
770,14.54,716.632,0.165
780,14.903,728.475,0.159
790,14.669,741.368,0.145
800,14.897,744.203,0.155
810,14.534,754.002,0.166
820,14.396,762.267,0.163
830,14.698,760.879,0.183
840,14.11,778.514,0.17
850,14.772,783.653,0.171
860,14.698,794.501,0.177
870,14.312,796.468,0.187
880,14.763,810.928,0.184
890,14.487,810.78,0.194
900,14.539,832.068,0.177
910,14.442,835.293,0.196
920,14.326,840.036,0.195
930,14.221,841.606,0.219
940,13.963,855.262,0.2
950,14.378,866.347,0.196
960,14.574,881.492,0.187
970,14.337,893.299,0.188
980,14.116,889.704,0.196
990,14.621,895.215,0.2
1000,14.221,899.985,0.213
1010,13.737,903.651,0.224
1020,13.775,920.31,0.226
1030,14.148,929.143,0.219
1040,14.162,930.463,0.232
1050,14.167,947.103,0.219
1060,14.2,954.548,0.217
1070,14.244,958.314,0.235
1080,13.882,961.381,0.232
1090,13.716,969.027,0.24
1100,13.991,986.799,0.227
1110,13.598,972.797,0.263
1120,13.875,993.056,0.252
1130,13.578,991.321,0.261
1140,14.342,1020.294,0.234
1150,13.515,1028.942,0.241
1160,13.615,1028.91,0.259
1170,13.869,1030.117,0.259
1180,14.003,1031.109,0.269
1190,13.206,1048.827,0.262
1200,13.878,1045.818,0.26
1210,13.512,1065.982,0.266
1220,13.85,1070.514,0.27
1230,13.993,1080.616,0.261
1240,13.946,1090.872,0.262
1250,13.467,1088.586,0.273
1260,13.341,1084.481,0.293
1270,13.637,1112.21,0.27
1280,12.939,1100.641,0.288
1290,12.695,1092.34,0.321
1300,13.708,1131.111,0.278
1310,13.097,1133.331,0.285
1320,13.176,1143.549,0.285
1330,13.848,1156.049,0.276
1340,13.451,1167.52,0.265
1350,13.666,1155.508,0.309
1360,13.37,1180.39,0.276
1370,13.469,1168.081,0.287
1380,12.732,1179.41,0.313
1390,13.549,1187.517,0.311
1400,13.469,1219.091,0.281
1410,13.104,1205.84,0.306
1420,13.163,1235.272,0.29
1430,13.605,1223.521,0.303
1440,13.372,1228.748,0.309
1450,13.04,1243.017,0.304
1460,12.599,1252.98,0.318
1470,13.242,1270.693,0.289
1480,13.043,1248.59,0.326
1490,13.356,1248.933,0.321
1500,13.161,1269.328,0.313
1510,12.858,1279.717,0.32
1520,12.994,1275.877,0.331
1530,13.421,1285.251,0.345
1540,12.9,1288.676,0.334
1550,12.913,1304.558,0.326
1560,13.143,1326.279,0.312
1570,12.945,1295.886,0.35
1580,13.158,1334.244,0.333
1590,12.964,1315.676,0.348
1600,13.291,1342.215,0.319
1610,13.508,1356.987,0.322
1620,12.459,1338.416,0.359
1630,13.177,1378.092,0.313
1640,13.042,1342.702,0.349
1650,12.647,1373.846,0.333
1660,12.813,1361.021,0.355
1670,12.804,1388,0.351
1680,12.723,1406.537,0.341
1690,13.063,1385.862,0.349
1700,12.409,1375.899,0.379
1710,13.302,1393.095,0.375
1720,12.67,1372.293,0.392
1730,12.283,1397.781,0.389
1740,12.686,1389.464,0.409
1750,12.639,1419.89,0.389
1760,12.386,1430.973,0.375
1770,13.095,1444.235,0.357
1780,13.22,1454.254,0.369
1790,12.912,1479.542,0.344
1800,12.972,1440.893,0.385
1810,12.537,1499.177,0.365
1820,12.101,1468.08,0.391
1830,13.095,1477.292,0.388
1840,12.707,1495.102,0.374
1850,12.81,1512.235,0.377
1860,12.514,1483.147,0.407
1870,12.563,1512.914,0.396
1880,12.675,1506.386,0.396
1890,12.534,1486.224,0.41
1900,12.723,1555.014,0.377
1910,12.861,1567.58,0.371
1920,12.641,1559.263,0.371
1930,12.681,1520.553,0.411
1940,12.646,1534.661,0.406
1950,12.244,1541.994,0.401
1960,12.8,1563.284,0.398
1970,12.82,1541.147,0.419
1980,12.919,1565.821,0.411
1990,12.214,1560.908,0.408
2000,12.769,1556.757,0.427
2010,13.084,1567.956,0.418
2020,12.662,1612.125,0.398
2030,12.334,1608.056,0.393
2040,12.686,1602.012,0.424
2050,12.531,1605.546,0.41
2060,12.55,1617.223,0.416
2070,12.341,1619.722,0.417
2080,12.381,1657.998,0.402
2090,12.576,1636.933,0.42
2100,12.725,1685.958,0.39
2110,12.694,1639.088,0.426
2120,12.133,1683.118,0.386
2130,12.236,1670.453,0.419
2140,12.073,1666.746,0.428
2150,12.591,1695.769,0.395
2160,12.412,1693.715,0.422
2170,12.446,1693.68,0.422
2180,12.537,1663.46,0.451
2190,11.881,1681.32,0.438
2200,12.425,1712.146,0.439
2210,12.335,1726.376,0.417
2220,12.017,1657.637,0.468
2230,12.48,1677.543,0.463
2240,12.455,1724.089,0.433
2250,12.005,1774.781,0.412
2260,12.064,1759.413,0.428
2270,12.328,1734.311,0.44
2280,12.453,1717.519,0.454
2290,12.482,1776.615,0.435
2300,12.568,1726.984,0.467
2310,12.755,1791.479,0.425
2320,12.233,1767.994,0.447
2330,12.612,1766.669,0.449
2340,11.821,1798.28,0.433
2350,11.928,1747.573,0.464
2360,12.327,1781.834,0.453
2370,12.309,1804.93,0.447
2380,12.56,1751.883,0.468
2390,12.214,1771.033,0.464
2400,12.277,1823.018,0.441
2410,11.904,1815.557,0.464
2420,12.298,1814.862,0.461
2430,11.793,1834.255,0.461
2440,12.295,1824.702,0.466
2450,12.449,1889.052,0.426
2460,12.057,1873.386,0.444
2470,12.054,1829.023,0.464
2480,12.788,1820.452,0.462
2490,11.98,1854.537,0.475
2500,11.448,1813.919,0.487
2510,12.113,1858.649,0.478
2520,12.453,1898.84,0.459
2530,11.39,1829.401,0.498
2540,12.564,1896.412,0.472
2550,11.817,1894.161,0.46
2560,11.985,1903.318,0.476
2570,12.038,1901.854,0.471
2580,11.949,1950.441,0.46
2590,11.594,1916.615,0.471
2600,12.619,1895.614,0.49
2610,12.366,1914.778,0.482
2620,11.801,1904.179,0.491
2630,12.111,1942.618,0.467
2640,11.756,1928.466,0.488
2650,12.018,1931.961,0.483
2660,12.264,1967.035,0.462
2670,12.172,1953.468,0.478
2680,11.814,1966.851,0.492
2690,12.153,1952.025,0.483
2700,11.475,1998.759,0.468
2710,12.296,1953.215,0.485
2720,12.386,1947.315,0.499
2730,12.281,1992.393,0.485
2740,11.932,1954.237,0.503
2750,12.14,2022.937,0.468
2760,12.148,2017.957,0.484
2770,12.356,2010.807,0.477
2780,11.751,2032.182,0.477
2790,11.801,2048.759,0.486
2800,11.619,1998.114,0.509
2810,12.203,2050.252,0.487
2820,12.219,1998.5,0.504
2830,11.44,2065.694,0.489
2840,11.756,2059.873,0.493
2850,11.735,2041.519,0.511
2860,12.268,2077.765,0.478
2870,11.724,2048.51,0.492
2880,12.054,2024.863,0.529
2890,11.622,2104.486,0.485
2900,11.702,2105.244,0.49
2910,12.016,2039.92,0.517
2920,11.75,2099.765,0.499
2930,11.953,2056.707,0.517
2940,11.902,2098.122,0.488
2950,11.889,2126.753,0.484
2960,12.137,2137.378,0.481
2970,12.185,2124.213,0.501
2980,11.578,2131.26,0.502
2990,12.008,2116.881,0.513
3000,11.465,2093.632,0.524
3010,11.816,2119.783,0.514
3020,11.885,2138.915,0.512
3030,11.849,2155.834,0.515
3040,12.107,2098.647,0.523
3050,12.552,2206.397,0.485
3060,11.89,2160.851,0.517
3070,12.327,2154.164,0.512
3080,12,2195.023,0.525
3090,11.595,2170.333,0.518
3100,11.803,2156.407,0.531
3110,12.084,2176.658,0.515
3120,12.026,2203.97,0.497
3130,11.607,2179.642,0.524
3140,11.653,2162.65,0.549
3150,12.007,2196.388,0.516
3160,12.107,2208.849,0.524
3170,12.077,2198.67,0.517
3180,11.682,2196.577,0.525
3190,11.878,2182.98,0.534
3200,11.815,2230.669,0.529
3210,11.488,2170.432,0.54
3220,11.515,2217.917,0.537
3230,11.632,2231.119,0.518
3240,12.061,2228.923,0.532
3250,11.639,2242.634,0.537
3260,11.42,2247.924,0.54
3270,12.063,2282.142,0.516
3280,11.96,2236.748,0.53
3290,12.323,2218.879,0.538
3300,11.035,2298.064,0.53
3310,11.489,2222.865,0.546
3320,11.953,2264.792,0.535
3330,12.3,2266.168,0.54
3340,12.001,2273.648,0.527
3350,12.215,2296.015,0.524
3360,11.863,2271.764,0.531
3370,11.83,2324.856,0.523
3380,12.164,2299.365,0.523
3390,11.884,2331.379,0.532
3400,12.055,2284.164,0.549
3410,11.709,2293.117,0.546
3420,11.664,2328.336,0.54
3430,11.783,2323.411,0.535
3440,11.46,2286.974,0.555
3450,11.763,2268.935,0.551
3460,11.858,2258.929,0.569
3470,11.264,2351.602,0.539
3480,11.578,2399.564,0.525
3490,12.344,2461.843,0.507
3500,11.991,2397.079,0.52
3510,11.345,2339.555,0.548
3520,12.247,2351.423,0.548
3530,12.016,2399.634,0.536
3540,12.06,2415.169,0.551
3550,11.939,2363.428,0.546
3560,11.526,2365.797,0.563
3570,11.267,2382.314,0.556
3580,12.334,2415.839,0.544
3590,11.729,2417.71,0.528
3600,11.288,2403.633,0.547
3610,11.826,2427.176,0.539
3620,11.79,2412.966,0.549
3630,11.342,2419.913,0.562
3640,11.513,2462.632,0.53
3650,11.468,2454.858,0.557
3660,11.565,2445.853,0.542
3670,12.217,2403.953,0.55
3680,11.72,2470.991,0.539
3690,11.403,2485.238,0.539
3700,12.053,2428.729,0.561
3710,11.391,2409.652,0.58
3720,11.706,2450.41,0.551
3730,11.533,2429.379,0.557
3740,11.618,2481.713,0.553
3750,11.496,2433.844,0.561
3760,10.963,2469.839,0.571
3770,11.285,2442.703,0.566
3780,11.663,2513.552,0.547
3790,11.811,2440.064,0.578
3800,11.877,2488.191,0.563
3810,11.948,2503.926,0.551
3820,11.702,2398.151,0.611
3830,11.353,2439.949,0.571
3840,11.787,2499.599,0.57
3850,11.493,2468.795,0.576
3860,11.617,2491.904,0.571
3870,12.05,2592.186,0.536
3880,11.389,2587.553,0.542
3890,11.444,2482.377,0.585
3900,11.607,2553.935,0.556
3910,11.074,2594.423,0.536
3920,11.346,2547.196,0.562
3930,11.33,2597.1,0.555
3940,11.749,2509.719,0.593
3950,11.34,2554.942,0.572
3960,11.377,2538.874,0.582
3970,11.311,2529.961,0.587
3980,11.492,2635.807,0.556
3990,11.334,2511.518,0.594
4000,11.959,2527.679,0.582
4010,11.849,2556.493,0.575
4020,11.586,2592.491,0.56
4030,11.861,2575.321,0.567
4040,11.195,2610.467,0.573
4050,11.663,2597.512,0.564
4060,11.292,2634.916,0.565
4070,11.647,2607.19,0.57
4080,11.167,2569.292,0.583
4090,11.766,2628.274,0.561
4100,11.098,2498.119,0.599
4110,11.333,2714.788,0.547
4120,11.822,2556.769,0.584
4130,12.117,2667.543,0.566
4140,11.075,2637.495,0.592
4150,11.655,2607.807,0.579
4160,11.226,2639.279,0.587
4170,11.586,2652.353,0.568
4180,11.317,2661.061,0.58
4190,12.013,2705.503,0.555
4200,11.265,2682.03,0.575
4210,11.249,2677.75,0.568
4220,11.234,2674.845,0.59
4230,11.727,2685.927,0.583
4240,11.537,2696.386,0.568
4250,11.422,2705.751,0.577
4260,11.71,2807.774,0.546
4270,11.464,2682.977,0.586
4280,11.381,2650.622,0.587
4290,12.148,2723.198,0.562
4300,11.394,2638.394,0.598
4310,11.574,2810.486,0.55
4320,11.734,2687.12,0.587
4330,11.067,2704.336,0.587
4340,11.25,2619.967,0.617
4350,10.969,2711.628,0.583
4360,11.579,2798.691,0.555
4370,11.999,2714.862,0.594
4380,11.75,2802.643,0.569
4390,11.239,2708.031,0.586
4400,11.195,2654.852,0.609
4410,11.451,2736.298,0.575
4420,11.783,2756.019,0.578
4430,11.401,2770.745,0.577
4440,11.614,2777.834,0.575
4450,11.908,2846.011,0.572
4460,11.803,2781.909,0.581
4470,11.92,2677.854,0.604
4480,11.99,2745.098,0.598
4490,11.719,2754.934,0.588
4500,11.544,2782.104,0.588
4510,11.763,2820.063,0.585
4520,11.721,2825.416,0.587
4530,11.703,2816.15,0.578
4540,11.542,2857.38,0.572
4550,11.067,2755.728,0.605
4560,11.527,2797.577,0.596
4570,11.156,2961.956,0.558
4580,11.936,2942.495,0.547
4590,11.959,2818.084,0.582
4600,11.497,2796.86,0.616
4610,11.318,2840.362,0.583
4620,11.645,2916.731,0.575
4630,11.573,2798.088,0.592
4640,11.248,2901.608,0.564
4650,11.197,2796.815,0.6
4660,11.406,2853.307,0.594
4670,11.2,2896.049,0.582
4680,11.537,2830.491,0.602
4690,11.403,2756.465,0.614
4700,11.35,2827.27,0.597
4710,11.901,2823.466,0.597
4720,11.722,2901.747,0.589
4730,11.665,2875.086,0.589
4740,11.177,2891.488,0.594
4750,11.648,2804.899,0.614
4760,11.319,2841.705,0.61
4770,11.136,2966.786,0.578
4780,11.384,2931.777,0.594
4790,11.401,2841.493,0.599
4800,10.992,2969.593,0.582
4810,11.741,2877.877,0.614
4820,11.09,2916.8,0.608
4830,11.061,2782.661,0.63
4840,11.487,2931.55,0.596
4850,10.899,2858.613,0.622
4860,11.267,2969.334,0.586
4870,11.518,2896.837,0.617
4880,11.688,2958.561,0.598
4890,11.881,2971.241,0.584
4900,11.381,2914.413,0.613
4910,11.461,2898.039,0.599
4920,11.548,2973.807,0.597
4930,11.918,3026.155,0.579
4940,11.37,2966.737,0.596
4950,11.302,2942.19,0.612
4960,11.436,2833.309,0.62
4970,11.346,2969.056,0.598
4980,11.393,3047.32,0.594
4990,11.871,2928.964,0.603
5000,11.321,2959.047,0.603
