Trials,Min Card Count,Average Rounds Played, Probability of Termination
0,26,0,0
10,23.757,10.065,0
20,22.357,20.061,0
30,21.483,30.042,0
40,21.003,40.034,0
50,20.202,50.033,0.001
60,19.916,60.019,0.001
70,19.896,70.005,0.002
80,19.562,80.013,0.001
90,19.312,89.829,0.006
100,18.892,99.922,0.006
110,18.803,109.783,0.007
120,18.693,119.358,0.018
130,18.718,129.252,0.017
140,18.552,139.52,0.012
150,18.11,149.182,0.014
160,17.959,158.918,0.019
170,18.128,169.14,0.013
180,17.955,178.836,0.024
190,17.919,188.455,0.02
200,17.733,198.818,0.02
210,17.695,206.742,0.032
220,17.321,217.876,0.024
230,17.309,227.904,0.029
240,17.774,237.69,0.027
250,17.401,247.144,0.033
260,17.013,257.405,0.034
270,17.475,266.183,0.035
280,17.116,274.959,0.048
290,16.797,284.468,0.047
300,16.738,294.403,0.054
310,16.691,303.968,0.05
320,16.798,313.703,0.055
330,16.534,322.623,0.058
340,16.905,329.931,0.074
350,16.466,339.789,0.07
360,16.539,351.505,0.059
370,16.187,358.477,0.073
380,16.47,371.013,0.061
390,16.251,376.156,0.086
400,16.34,389.422,0.067
410,16.018,397.377,0.081
420,16.425,406.444,0.079
430,16.712,418.328,0.068
440,16.532,423.903,0.082
450,16.076,434.881,0.077
460,15.901,442.503,0.087
470,16.324,456.825,0.073
480,16.356,462.954,0.09
490,15.697,472.952,0.078
500,15.966,484.381,0.077
510,15.653,487.981,0.107
520,15.778,496.823,0.101
530,15.758,507.699,0.106
540,15.921,518.191,0.093
550,15.5,527.742,0.104
560,15.577,537.565,0.101
570,15.775,543.046,0.103
580,15.541,554.824,0.114
590,15.905,562.841,0.108
600,15.222,565.985,0.122
610,15.737,579.899,0.118
620,15.159,585.025,0.138
630,15.174,595.411,0.139
640,15.228,605.486,0.123
650,14.867,619.307,0.122
660,15.155,620.302,0.143
670,15.22,631.212,0.131
680,14.794,639.674,0.152
690,15.11,647.766,0.138
700,15.154,661.272,0.131
710,15.269,667.705,0.14
