Trials,Min Card Count,Average Rounds Played, Probability of Termination
1750,10.5,655.484,0.861
1760,10.686,670.191,0.861
1770,9.787,675.341,0.88
1780,10.833,647.787,0.877
1790,10.376,701.576,0.864
1800,10.805,710.027,0.842
1810,10.255,715.885,0.844
1820,9.977,708.993,0.847
1830,10.653,695.728,0.851
1840,10.364,695.184,0.866
1850,10.459,683.351,0.858
1860,10.119,690.058,0.864
1870,10.641,702.901,0.867
1880,10.549,686.606,0.862
1890,10.337,696.59,0.87
1900,10.506,708.703,0.861
1910,10.713,669.868,0.88
1920,10.736,641.674,0.896
1930,10.387,682.612,0.867
1940,10.025,703.2,0.861
1950,10.221,681.346,0.872
1960,10.414,697.473,0.877
1970,10.165,677.856,0.879
1980,10.298,687.783,0.879
1990,10.284,671.467,0.89
2000,10.296,724.366,0.864
2010,10.633,725.28,0.873
2020,10.474,712.011,0.882
2030,10.594,703.06,0.862
2040,10.388,709.365,0.882
2050,10.636,699.681,0.88
2060,10.501,699.695,0.878
2070,10.714,723.968,0.868
2080,10.162,745.777,0.861
2090,10.735,724.432,0.868
2100,10.582,693.953,0.881
2110,10.111,685.493,0.891
2120,10.668,734.725,0.873
2130,10.723,734.107,0.87
2140,10.686,679.626,0.897
2150,9.802,740.573,0.879
2160,10.589,693.191,0.897
2170,10.841,714.898,0.876
2180,10.567,702.423,0.892
2190,10.573,693.257,0.895
2200,10.47,746.438,0.87
2210,10.024,709.017,0.876
2220,10.451,705.895,0.895
2230,10.605,741.79,0.868
2240,10.342,746.385,0.876
2250,10.418,709.626,0.894
2260,10.67,717.861,0.88
2270,10.205,743.564,0.875
2280,10.773,729.169,0.879
2290,10.671,724.617,0.885
2300,10.364,720.993,0.885
2310,10.491,734.413,0.878
2320,10.465,716.543,0.891
2330,10.825,731.201,0.887
2340,10.179,746.028,0.875
2350,10.422,766.032,0.87
2360,10.343,766.805,0.865
2370,10.294,763.88,0.879
2380,9.79,768.66,0.885
2390,10.47,726.697,0.887
2400,10.418,779.773,0.873
2410,10.329,752.432,0.883
2420,10.444,793.088,0.863
2430,10.334,776.598,0.872
2440,10.62,716.598,0.893
2450,10.001,790.533,0.881
2460,10.017,735.588,0.9
2470,10.546,732.114,0.886
2480,10.374,751.717,0.891
2490,10.396,734.829,0.895
2500,10.356,797.717,0.868
2510,10.199,739.233,0.889
2520,10.429,763.099,0.889
2530,10.478,805.718,0.884
2540,10.741,729.961,0.898
2550,9.883,749.569,0.904
2560,10.355,787.541,0.88
2570,9.818,812.035,0.874
2580,10.484,735.018,0.896
2590,10.295,754.12,0.889
2600,10.211,764.482,0.885
2610,10.223,754.186,0.895
2620,10.362,729.872,0.904
2630,10.614,780.439,0.875
2640,10.507,793.149,0.883
2650,10.568,774.122,0.878
2660,10.066,775.05,0.892
2670,10.46,792.123,0.883
2680,10.606,767.992,0.882
2690,9.818,781.024,0.894
2700,10.133,860.814,0.857
2710,10.323,784.516,0.891
2720,10.421,824.615,0.874
2730,10.501,792.066,0.883
2740,10.311,746.222,0.9
2750,10.213,767.023,0.888
2760,10.358,789.421,0.894
2770,10.448,794.942,0.886
2780,10.549,796.577,0.89
2790,10.294,798.8,0.891
2800,10.185,811.356,0.88
2810,10.367,775.571,0.891
2820,10.389,753.485,0.891
2830,10.659,767.826,0.884
2840,10.384,788.346,0.892
2850,10.253,775.297,0.901
2860,10.556,761.561,0.9
2870,10.699,877.192,0.861
2880,9.96,800.003,0.886
2890,10.743,755.88,0.9
2900,10.772,798.954,0.888
2910,10.346,786.293,0.895
2920,10.175,835.243,0.879
2930,10.623,835.345,0.876
2940,10.152,791.889,0.902
2950,10.382,836.138,0.888
2960,10.52,829.632,0.888
2970,10.189,760.253,0.906
2980,10.936,848.965,0.861
2990,10.387,816.601,0.891
3000,10.368,753.023,0.91
3010,10.111,785.045,0.897
3020,10.563,868.157,0.876
3030,10.67,822.426,0.88
3040,10.771,839.718,0.873
3050,10.517,819.714,0.892
3060,10.228,848.909,0.878
3070,10.641,831.441,0.886
3080,10.272,813.919,0.897
3090,10.283,821.228,0.889
3100,9.705,904.772,0.868
3110,10.194,802.873,0.9
3120,10.395,817.588,0.898
3130,9.842,816.926,0.896
3140,10.223,865.433,0.891
3150,10.676,835.618,0.889
3160,10.359,822.085,0.896
3170,10.686,824.952,0.895
3180,10.077,864.511,0.882
3190,10.548,889.167,0.863
3200,10.368,853.046,0.887
3210,10.546,837.482,0.889
3220,10.447,847.422,0.888
3230,10,837.529,0.89
3240,9.968,797.02,0.899
3250,10.879,861.436,0.883
3260,9.965,833.555,0.905
3270,10.596,870.239,0.882
3280,10.014,864.009,0.884
3290,10.381,890.106,0.882
3300,10.571,874.238,0.881
3310,10.051,860.455,0.896
3320,10.43,903.249,0.879
3330,10.462,893.13,0.869
3340,9.725,908.625,0.874
3350,10.246,867.036,0.883
3360,10.237,857.467,0.889
3370,10.1,883.964,0.884
3380,10.503,792.218,0.907
3390,10.381,834.003,0.895
3400,10.172,870.277,0.886
3410,10.064,862.035,0.893
3420,10.17,856.528,0.897
3430,10.175,877.755,0.889
3440,10.282,871.783,0.881
3450,10.287,865.084,0.884
3460,10.497,904.227,0.876
3470,10.869,896.392,0.88
3480,10.261,882.991,0.882
3490,10.67,902.97,0.878
3500,10.336,910.778,0.879
3510,10.628,889.053,0.892
3520,10.352,868.184,0.895
3530,10.474,860.42,0.897
3540,10.317,860.596,0.897
3550,10.689,896.571,0.882
3560,10.658,905.113,0.879
3570,10.248,920.972,0.879
3580,10.3,876.954,0.899
3590,10.036,880.656,0.892
3600,9.65,882.567,0.9
3610,10.186,961.818,0.873
3620,10.616,926.905,0.88
3630,10.594,936.591,0.875
3640,10.549,856.324,0.893
3650,10.522,886.895,0.895
3660,10.534,790.25,0.905
3670,10.423,918.252,0.88
3680,10.327,868.435,0.899
3690,10.468,898.135,0.889
3700,10.483,868.062,0.894
3710,10.212,969.26,0.879
3720,10.554,897.425,0.894
3730,10.025,878.883,0.901
3740,10.671,890.351,0.892
3750,10.663,837.966,0.901
3760,10.516,877.226,0.894
3770,10.389,947.338,0.884
3780,10.237,922.453,0.887
3790,10.625,895.656,0.891
3800,10.477,918.054,0.891
3810,10.322,926.517,0.887
3820,10.264,836.097,0.914
3830,10.523,961.371,0.874
3840,10.293,898.491,0.894
3850,9.866,884.587,0.897
3860,10.473,865.854,0.903
3870,10.339,940.377,0.885
3880,10.372,892.992,0.891
3890,10.527,947.387,0.88
3900,10.726,962.963,0.88
3910,10.197,914.947,0.889
3920,10.375,946.156,0.881
3930,10.183,970.206,0.876
3940,10.032,965.402,0.876
3950,10.037,940.946,0.884
3960,10.532,909.112,0.898
3970,10.51,941.833,0.885
3980,10.311,948.144,0.882
3990,9.965,925.534,0.891
4000,9.937,945.034,0.891
4010,10.522,936.026,0.889
4020,10.045,953.987,0.891
4030,10.371,939.33,0.892
4040,10.412,918.122,0.887
4050,10.298,962.378,0.881
4060,10.402,955.047,0.883
4070,10.687,966.958,0.877
4080,10.541,963.447,0.888
4090,10.557,968.308,0.887
4100,10.423,944.472,0.89
4110,10.37,958.706,0.886
4120,10.804,878.867,0.9
4130,9.983,908.921,0.902
4140,10.275,1003.551,0.884
4150,10.445,968.509,0.884
4160,10.167,1017.852,0.871
4170,10.46,910.211,0.897
4180,10.679,965.556,0.887
4190,9.863,863.475,0.912
4200,10.289,1062.946,0.864
4210,9.838,966.643,0.883
4220,9.857,954.861,0.893
4230,10.07,984.217,0.883
4240,10.772,1024.121,0.872
4250,10.267,966.528,0.889
4260,10.7,903.457,0.904
4270,10.832,980.088,0.887
4280,10.767,975.332,0.886
4290,10.585,973.737,0.884
4300,10.7,930.167,0.896
4310,9.963,921.514,0.895
4320,10.818,962.229,0.889
4330,10.657,962.722,0.885
4340,10.549,994.223,0.883
4350,10.6,1013.588,0.876
4360,10.436,945.425,0.895
4370,10.429,996.791,0.883
4380,10.322,989.808,0.884
4390,10.31,1036.588,0.88
4400,10.298,990.364,0.884
4410,10.848,972.229,0.885
4420,10.497,920.044,0.899
4430,9.984,1015.499,0.879
4440,10.423,905.212,0.907
4450,10.086,877.444,0.911
4460,10.37,918.803,0.905
4470,10.381,1029.324,0.881
4480,10.501,939.922,0.899
4490,10.645,944.289,0.902
4500,10.499,1052.004,0.872
4510,10.086,970.292,0.892
4520,10.356,953.846,0.891
4530,10.308,1027.498,0.882
4540,9.54,1027.536,0.885
4550,10.101,977.627,0.898
4560,10.024,1019.385,0.882
4570,10.512,919.551,0.901
4580,10.299,955.621,0.899
4590,10.112,972.924,0.895
4600,10.427,993.72,0.893
4610,10.7,989.994,0.885
4620,10.184,924.39,0.908
4630,10.267,989.373,0.888
4640,10.442,1006.286,0.89
4650,10.71,1006.444,0.884
4660,10.045,973.182,0.893
4670,9.895,997.034,0.891
4680,10.588,1036.87,0.883
4690,10.411,970.417,0.903
4700,10.089,981.466,0.9
4710,10.732,1059.776,0.878
4720,10.299,1040.735,0.888
4730,10.516,984.416,0.897
4740,10.768,1019.389,0.886
4750,10.294,1037.17,0.883
4760,9.989,986.627,0.895
4770,10.62,1065.302,0.88
4780,10.128,958.105,0.898
4790,10.407,940.882,0.907
4800,10.559,1090.089,0.878
4810,10.323,1086.682,0.873
4820,10.032,1128.89,0.868
4830,10.54,1075.288,0.876
4840,10.569,1042.96,0.885
4850,10.365,974.52,0.9
4860,9.861,1047.194,0.883
4870,10.301,963.875,0.904
4880,9.977,959.342,0.906
4890,10.436,1045.938,0.888
4900,10.26,1004.735,0.898
4910,10.736,1013.419,0.892
4920,10.316,1020.196,0.888
4930,10.539,982.786,0.898
4940,10.187,1031.172,0.893
4950,10.214,1050.591,0.89
4960,10.519,986.447,0.9
4970,10.511,997.851,0.891
4980,10.224,990.436,0.902
4990,10.431,979.982,0.901
5000,10.141,1027.237,0.894
