Trials,Min Card Count,Average Rounds Played, Probability of Termination
0,26,0,0
10,23.266,10.055,0
20,21.564,20.061,0
30,20.545,30.049,0.001
40,19.628,39.928,0.011
50,18.92,49.813,0.02
60,18.399,59.415,0.031
70,18.154,68.844,0.054
80,17.582,78.206,0.07
90,17.552,87.93,0.081
100,17.018,97.024,0.097
110,16.716,105.544,0.111
120,16.362,115.649,0.115
130,16.309,124.65,0.112
140,16.334,133.599,0.117
150,16.14,141.14,0.15
160,15.35,146.996,0.203
170,15.624,159.152,0.173
180,15.136,166.708,0.204
190,15.239,173.482,0.217
200,14.819,181.022,0.228
210,15.225,191.455,0.205
220,14.77,199.368,0.236
230,14.654,206.341,0.257
240,14.333,211.298,0.269
250,14.106,223.345,0.258
260,14.228,226.561,0.283
270,14.183,234.085,0.311
280,13.923,242.596,0.307
290,13.93,247.033,0.33
300,13.803,251.261,0.346
310,13.493,259.277,0.356
320,13.774,271.599,0.341
330,13.776,270.503,0.392
340,13.512,279.377,0.369
350,13.241,287.066,0.383
360,13.368,288.608,0.409
370,12.759,297.926,0.419
380,12.812,299.92,0.422
390,13.154,304.827,0.456
400,13.045,307.253,0.477
410,12.76,321.667,0.445
420,12.415,322.546,0.486
430,12.519,326.957,0.466
440,12.795,331.809,0.477
450,12.671,339.917,0.5
460,12.573,344.299,0.506
470,12.543,352.922,0.498
480,12.071,350.836,0.502
490,12.019,363.127,0.524
500,12.332,357.844,0.55
510,12.367,377.123,0.508
520,11.957,375.698,0.529
530,12.356,385.295,0.541
540,11.913,383.357,0.56
550,12.255,383.619,0.56
560,12.028,392.617,0.56
570,11.861,410.555,0.531
580,11.581,402.555,0.578
590,11.382,409.977,0.571
600,11.885,411.086,0.587
610,11.587,414.207,0.598
620,11.963,408.287,0.611
630,11.186,435.302,0.582
640,11.849,429.801,0.613
650,11.657,438.769,0.606
660,11.662,435.737,0.606
670,11.126,435.303,0.65
680,11.375,443.225,0.629
690,11.314,443.145,0.657
700,11.613,446.076,0.647
710,11.242,465.565,0.639
720,11.316,436.795,0.7
730,11.544,469.829,0.642
740,11.062,459.7,0.666
750,11.201,473.779,0.646
760,11.084,468.707,0.664
770,11.464,469.414,0.677
780,11.581,476.564,0.678
790,11.287,477.381,0.693
800,11.122,493.751,0.691
810,11.251,482.442,0.698
820,10.879,487.957,0.69
830,11.313,491.993,0.696
840,11.27,484.791,0.716
850,11.128,509.142,0.701
860,11.411,507.007,0.687
870,11.059,496.131,0.717
880,11.046,512.205,0.726
890,11.413,533.79,0.698
900,11.336,486.679,0.739
910,11.023,518.243,0.739
920,10.766,528.701,0.705
930,11.399,520.709,0.725
940,10.717,542.996,0.733
950,11.168,531.53,0.755
960,10.788,518.096,0.767
970,11.149,511.168,0.766
980,10.469,531.138,0.741
990,11.182,551.061,0.73
1000,10.62,544.233,0.761
1010,10.561,526.069,0.777
1020,10.547,539.453,0.77
1030,10.532,560.73,0.757
1040,10.978,554.234,0.77
1050,10.579,543.555,0.785
1060,10.939,577.684,0.763
1070,10.838,561.107,0.769
1080,10.592,541.769,0.78
1090,10.825,584.417,0.764
1100,10.76,542.315,0.797
1110,10.747,538.785,0.801
1120,11.041,568.197,0.779
1130,10.57,545.193,0.811
1140,10.531,578.276,0.779
1150,10.55,573.456,0.789
1160,11.098,567.137,0.794
1170,10.777,576.983,0.78
1180,10.533,564.796,0.812
1190,10.478,598.952,0.786
1200,10.522,576.208,0.798
1210,10.707,574.655,0.802
1220,10.616,558.698,0.824
1230,10.96,586.47,0.798
1240,10.238,600.218,0.804
1250,10.524,585.015,0.813
1260,10.714,591.388,0.807
1270,10.787,597.266,0.818
1280,10.567,596.608,0.807
1290,10.845,637.416,0.788
1300,10.798,577.383,0.835
1310,10.38,597.287,0.821
1320,10.707,605.064,0.813
1330,10.501,593.122,0.824
1340,10.807,641.55,0.806
1350,10.476,616.693,0.835
1360,10.394,591.468,0.837
1370,10.653,592.638,0.857
1380,10.371,603.85,0.845
1390,10.356,586.159,0.846
1400,10.42,619.488,0.846
1410,10.523,609.354,0.825
1420,10.791,619.829,0.851
1430,10.44,648.339,0.824
1440,10.619,633.837,0.833
1450,10.621,632.395,0.84
1460,10.549,627.203,0.845
1470,10.553,623.476,0.845
1480,10.213,645.272,0.822
1490,10.741,631.945,0.829
1500,10.632,646.772,0.841
1510,11.021,616.476,0.842
1520,9.829,640.969,0.84
1530,10.639,628.487,0.851
1540,10.041,646.902,0.846
1550,10.078,637.702,0.85
1560,10.501,615.906,0.864
1570,10.623,654.015,0.834
1580,10.438,676.097,0.832
1590,10.6,675.488,0.842
1600,10.422,640.582,0.848
1610,10.465,640.815,0.853
1620,10.543,641.693,0.854
1630,9.912,666.997,0.846
1640,10.7,668.426,0.851
1650,10.539,657.909,0.85
1660,10.297,650.92,0.861
1670,10.092,639.207,0.873
1680,10.512,646.997,0.871
1690,10.37,668.622,0.86
1700,10.328,674.289,0.851
1710,10.158,676.821,0.845
1720,10.289,668.31,0.864
1730,10.163,674.651,0.865
1740,10.223,646.804,0.867
